short_name,long_name,age,potential,
J. Logan,Joel Logan,20,59,
J. Laurent,Josh Laurent,20,59,
Lee Tae Hui,이태희 李泰熙,20,59,
F. Murdoch,Fraser Murdoch,18,59,
R. Rodríguez,Ronny Rodríguez,21,59,
M. Awaji,Mohammed Ahmed Awaji,20,59,
H. Alamiri,Hassan Alamiri,21,59,
L. Sutton,Levi Sutton,18,58,
L. Desmond,Lee Desmond,20,58,
M. Mauri,Mariano Augusto Mauri,20,58,
A. Dwyer,Anthony Dwyer,18,58,
J. Brennan,Joseph Brennan,18,58,
G. Mendieta,Gumersindo Mendieta Bogado,22,58,
Lee Kwang Hoon,이광훈 Kwang Hoon Lee,21,57,
K. Deacon,Keano Deacon,20,57,
T. Davies,Tom Davies,23,57,
T. Hunter,Taylor Hunter,21,57,
M. Al Harthi,Murad Al Harthi,22,57,
J. Villa,Juan Carlos Villa Úsuga,23,57,
B. Freire,Bryan Freire,19,57,
M. Al Barih,Mohammad Al Barih,21,56,
J. Kubicki,Jaroslaw Kubicki,19,56,
C. Maguire,Conor Maguire,19,56,
V. Feeney,Val Feeney,20,55,
L. Slade,Liam Slade,20,55,
A. Al Sultan,Ahmed Al Sultan,21,55,
A. Al Harbi,Abdulrahman Al Harbi,23,55,
E. Justham,Elliot Justham,25,55,
S. Al Saleh,Saad Al Saleh,23,55,
R. García,Rodrigo García,22,55,
M. Müller,Milton Axel Müller,25,54,
M. Słodowy,Mateusz Słodowy,23,52,
J. Kearns,Joe Kearns,17,69,
R. Cundy,Robbie Cundy,18,68,
T. Adebayo-Rowling,Tobi Adebayo-Rowling,18,67,
M. Kelly,Michael Kelly,18,65,
J. Malpas,Jay Malpas,18,64,
C. McCarthy,Conor McCarthy,17,64,
C. Burns,Charlie Burns,20,63,
D. Lyon,Darren Lyon,20,63,
M. Palacios,Mateo Palacios,18,63,
J. Sowerby,Jack Sowerby,20,63,
A. Reilly,Anton Reilly,17,63,
J. Brammen,Jonas Brammen,17,63,
D. Connolly,Dylan Connolly,18,62,
N. Burdett,Noel Burdett,17,62,
S. Patton,Shaun Patton,19,61,
A. Wright,Akil Wright,19,61,
J. Corrigan,Jake Corrigan,19,61,
D. Gallagher,Daniel Gallagher,18,61,
H. Lee,Harry Lee,20,60,
S. Ling,Sam Ling,18,60,
M. Panek,Mariusz Panek,20,60,
J. McIntyre,Joe McIntyre,19,60,
P. Rooney,Paul Rooney,18,60,
F. Moncur,Freddy Moncur,18,60,
C. O'Malley,Conor O'Malley,20,59,
M. Agyemang,Montel Agyemang,18,59,
R. Wintle,Ryan Wintle,17,59,
G. Edmundson,George Edmundson,17,59,
R. Broom,Ryan Broom,18,59,
V. Adeboyejo,Victor Adeboyejo,17,58,
J. Jewson,Jordan Jewson,17,58,
R. Vergara,Rodrigo Armando Vergara Brango,20,57,
M. Carberry,Michael Carberry,17,57,
T. McCready,Tom McCready,24,56,
B. Whitehouse,Billy Whitehouse,19,56,
N. Bondswell,Nathan Bondswell,18,56,
C. Brandt,Connor Brandt,22,56,
O. Becerra,Oscar Leonardo Becerra Gamboa,21,56,
D. Thomas,Dominic Thomas,19,55,
K. Green,Kieran Green,18,55,
K. Steenson,Kealan Steenson,18,55,
R. Doherty,Ryan Doherty,19,55,
T. Thiele,Timmy Thiele,23,53,
H. Al Mansour,Hamad Al Mansour,22,53,
J. Castillo,José Rodrigo Castillo Angulo,29,49,
T. Campbell,Tahvon Campbell,18,67,
A. George,Adriel George,18,66,
P. Denton,Peter Denton,18,66,
J. McNulty,Joseph McNulty,17,66,
G. Doré,Guillaume Doré,18,66,
J. Bonilla,Jafeb Bonilla,19,63,
B. Murphy,Billy Murphy,19,63,
A. May,Adam May,17,62,
S. Boyd,Sean Boyd,17,62,
L. Grimshaw,Liam Grimshaw,20,61,
S. Arango,Sebastián Arango,19,61,
L. Roa,Luis Felipe Roa González,19,61,
A. Ovalle,Adolfo Ovalle,18,60,
G. Boylan,Gary Boylan,19,59,
H. Hickford,Harry Hickford,19,59,
D. Byrnes,Daniel Byrnes,18,59,
R. Donelon,Regan Donelon,19,59,
J. Bayly,Jack Bayly,19,59,
L. Ranelli,Lorenzo Ranelli,19,59,
K. Tshimanga,Kabongo Tshimanga,17,59,
C. Hall,Callum Hall,18,59,
A. Smith,Alan Smith,22,58,
F. Reilly,Fionn Reilly,18,58,
P. Ng,Perry Ng,19,58,
J. Stewart,Jordan Stewart,20,58,
R. Lane,Ryan Lane,18,57,
M. Shelton,Mark Shelton,18,57,
B. Kelly,Ben Kelly,17,57,
K. Bryce,Kingsley Bryce,22,56,
O. Al Mazial,Omar Al Mazial,22,55,
J. Rivers,Jarrett Rivers,21,55,
E. Iandolo,Ellis Iandolo,17,55,
R. McDonald,Rod McDonald,23,54,
F. Al Sagour,Fawaz Al Sagour,19,54,
J. Stevens,Jack Stevens,17,54,
A. Fox,Andrew Fox,22,54,
M. Al Sudani,Murad Al Sudani,25,54,
J. Brophy,James Brophy,20,53,
F. Almoqati,Fawaz Almoqati,24,52,
F. Al Sobaie,Fahad Al Sobaie,27,50,
J. Dyche,Jack Dyche,17,68,
T. Owen-Evans,Tom Owen-Evans,18,65,
M. Hudson,Matthew Hudson,16,65,
S. Fogarty,Sean Fogarty,17,64,
M. Aparicio,Manuel Aparicio,19,61,
J. Storer,Jack Storer,17,61,
C. Chambers,Corey Chambers,17,61,
Matheus Silva,Matheus Martins Silva,18,61,
C. Toonga,Christian Toonga,17,61,
D. Burns,Danny Burns,18,60,
S. Austin,Sam Austin,18,58,
M. O'Connor,Michael O'Connor,16,58,
M. Argasiński,Mateusz Argasiński,19,58,
J. Dykes,Jake Dykes,20,57,
C. Riascos,Carlos Riascos,21,57,
W. Randall,Will Randall,18,56,
G. Casey,George Casey,17,56,
M. Alnajrani,Majed Alnajrani,21,56,
A. Hawtin,Aidan Hawtin,20,55,
M. Loaiza,Manuel Loaiza,20,55,
A. Almutair,Abdulaziz Almutair,23,55,
H. Jafari,Hassan Jafari,23,54,
A. Albalawi,Ayed Albalawi,24,52,
S. Amedo,Suliman Amedo,32,47,
N. McLaughlin,Neil McLaughlin,17,63,
S. Hanney,Shane Hanney,17,63,
M. Maier,Marcus Maier,19,62,
R. McManus,Ryan McManus,19,61,
G. Armstrong,Gary Armstrong,19,60,
D. Henry,Dion Henry,17,58,
C. Johns,Connor Johns,18,57,
Ibargoien,Iñigo Ibargoien Azkarate,19,56,
T. Holland,Tom Holland,18,55,
S. Hornby,Sam Hornby,20,55,
T. Smith,Tom Smith,17,54,
A. Bishop,Adam Bishop,17,53,
E. Farrell,Evin Farrell,17,61,
L. Bamford,Lewis Bamford,17,58,
J. Akintunde,James Akintunde,19,57,
C. Rabitsch,Christopher Rabitsch,19,57,
D. Jones,Dafydd Russell-Jones,17,57,
M. Lowe,Matt Lowe,19,55,
S. Sargeant,Sam Sargeant,17,63,
R. Feely,Rory Feely,18,61,
A. O'Kelly,Aidan O'Kelly,17,60,
D. Clifton,Danny Clifton,18,60,
S. McWilliams,Shaun McWilliams,16,59,
E. Redman,Ellis Redman,18,57,
R. Horne,Ryan Horne,19,57,
C. Shephard,Corey Shephard,17,56,
L. Gooch,Liam Gooch,17,54,
S. Warburton,Sam Warburton,18,51,
B. Richardson,Barry Richardson,45,44,
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,31,94,
L. Messi,Lionel Andrés Messi Cuccittini,29,93,
Neymar,Neymar da Silva Santos Junior,24,95,
M. Neuer,Manuel Neuer,30,92,
L. Suárez,Luis Alberto Suárez Díaz,29,92,
De Gea,David De Gea Quintana,25,92,
Z. Ibrahimović,Zlatan Ibrahimović,34,90,
G. Bale,Gareth Frank Bale,26,90,
J. Boateng,Jérôme Boateng,27,90,
R. Lewandowski,Robert Lewandowski,27,90,
T. Courtois,Thibaut Courtois,24,93,
M. Özil,Mesut Özil,27,90,
S. Agüero,Sergio Leonel Agüero del Castillo,28,89,
Sergio Ramos,Sergio Ramos García,30,89,
Thiago Silva,Thiago Emiliano da Silva,31,89,
L. Modrić,Luka Modrić,30,89,
P. Pogba,Paul Pogba,23,94,
A. Griezmann,Antoine Griezmann,25,92,
K. De Bruyne,Kevin De Bruyne,25,91,
T. Kroos,Toni Kroos,26,90,
E. Hazard,Eden Hazard,25,90,
G. Buffon,Gianluigi Buffon,38,88,
P. Čech,Petr Čech,34,88,
Pepe,Képler Laveran Lima Ferreira,33,88,
P. Lahm,Philipp Lahm,32,88,
G. Chiellini,Giorgio Chiellini,31,88,
G. Higuaín,Gonzalo Gerardo Higuaín,28,88,
H. Lloris,Hugo Lloris,29,88,
D. Godín,Diego Godín,30,88,
M. Reus,Marco Reus,27,88,
J. Rodríguez,James David Rodríguez Rubio,24,92,
J. Oblak,Jan Oblak,23,91,
D. Alaba,David Olatukunbo Alaba,24,90,
Sergio Busquets,Sergio Busquets i Burgos,27,88,
T. Müller,Thomas Müller,26,88,
A. Robben,Arjen Robben,32,87,
S. Handanovič,Samir Handanovič,31,87,
K. Benzema,Karim Benzema,28,87,
David Silva,David Josué Jiménez Silva,30,87,
I. Rakitić,Ivan Rakitić,28,87,
M. Hummels,Mats  Hummels,27,87,
A. Vidal,Arturo Vidal,29,87,
A. Di María,Ángel Fabián Di María Hernández,28,87,
L. Bonucci,Leonardo Bonucci,29,87,
A. Sánchez,Alexis Alejandro Sánchez Sánchez,27,87,
B. Leno,Bernd Leno,24,89,
P. Aubameyang,Pierre-Emerick Aubameyang,27,87,
Jordi Alba,Jordi Alba Ramos,27,87,
A. Barzagli,Andrea Barzagli,35,86,
V. Kompany,Vincent Kompany,30,86,
Santi Cazorla,Santiago Cazorla González,31,86,
Piqué,Gerard Piqué Bernabéu,29,86,
F. Ribéry,Franck Bilal Ribéry,33,86,
Cesc Fàbregas,Francesc Fàbregas i Soler,29,86,
Miranda,João Miranda de Souza Filho,31,86,
B. Matuidi,Blaise Matuidi,29,86,
C. Marchisio,Claudio Marchisio,30,86,
Marcelo,Marcelo Vieira da Silva Júnior,28,86,
D. Payet,Dimitri  Payet,29,86,
P. Dybala,Paulo Bruno Exequiel Dybala,22,92,
M. Verratti,Marco Verratti,23,90,
Coutinho,Philippe Coutinho Correia,24,89,
A. Lacazette,Alexandre Lacazette,25,89,
R. Mahrez,Riyad Mahrez,25,88,
M. Pjanić,Miralem Pjanić,26,87,
I. Gündoğan,İlkay Gündoğan,25,87,
Diego Costa,Diego da Silva Costa,27,86,
T. Alderweireld,Toby Alderweireld,27,86,
J. Pastore,Javier Matías Pastore,27,86,
J. Mascherano,Javier Alejandro Mascherano,32,85,
Dani Alves,Daniel Alves da Silva,33,85,
S. Mandanda,Steve Mandanda,31,85,
Filipe Luís,Filipe Luís Kasmirski,30,85,
L. Koscielny,Laurent Koscielny,30,85,
S. Ruffier,Stéphane Ruffier,29,85,
M. Hamšik,Marek Hamšík,28,85,
C. Bravo,Claudio Andrés Bravo Muñoz,33,85,
E. Cavani,Edinson Roberto Cavani Gómez,29,85,
Willian,Willian Borges da Silva,27,85,
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,28,85,
N. Otamendi,Nicolás Hernán Otamendi,28,85,
H. Mkhitaryan,Henrikh Mkhitaryan,27,85,
K. Navas,Keylor Navas,29,85,
R. Varane,Raphaël Varane,23,91,
R. Lukaku,Romelu Lukaku,23,90,
H. Kane,Harry Kane,22,90,
André Gomes,André Filipe Tavares Gomes,22,90,
C. Eriksen,Christian  Dannemann Eriksen,24,88,
Koke,Jorge Resurrección Merodio,24,88,
Isco,Francisco Román Alarcón Suárez,24,88,
William Carvalho,William Silva de Carvalho,24,88,
A. Laporte,Aymeric  Laporte,22,88,
A. Ramsey,Aaron Ramsey,25,87,
Thiago,Thiago Alcântara do Nascimento,25,87,
Alex Sandro,Alex Sandro Lobo Silva,25,87,
M. Götze,Mario Götze,24,87,
K. Manolas,Kostas Manolas,25,87,
G. Xhaka,Granit Xhaka,23,87,
J. Draxler,Julian Draxler,22,87,
G. Krychowiak,Grzegorz Krychowiak,26,86,
Javi Martinez,Javier Martínez Aginaga,27,85,
Y. Sommer,Yann Sommer,27,85,
Rui Patrício,Rui Pedro dos Santos Patrício,28,85,
R. Fährmann,Ralf Fährmann,27,85,
O. Toprak,Ömer Toprak,26,85,
C. Smalling,Chris Smalling,26,85,
Douglas Costa,Douglas Costa de Souza,25,85,
J. Terry,John Terry,35,84,
Y. Touré,Gnégnéri Yaya Touré,33,84,
José Reina,José Manuel  Reina Páez,33,84,
Xabi Alonso,Xabier Alonso Olano,34,84,
W. Rooney,Wayne Mark Rooney,30,84,
Aduriz,Aritz Aduriz Zubeldia,35,84,
A. Turan,Arda Turan,29,84,
J. Hart,Joe Hart,29,84,
H. Ben Arfa,Hatem Ben Arfa,29,84,
E. Garay,Ezequiel Marcelo Garay,29,84,
D. Sturridge,Daniel Andre Sturridge,26,84,
Naldo,Ronaldo  Aparecido Rodrigues,33,84,
Sokratis,Sokratis Papastathopoulos,28,84,
Jonas,Jonas Gonçalves Oliveira,32,84,
Juan Mata,Juan Manuel Mata García,28,84,
R. Nainggolan,Radja Nainggolan,28,84,
E. Banega,Éver Maximiliano David Banega,28,84,
B. Höwedes,Benedikt Höwedes,28,84,
David Luiz,David Luiz Moreira Marinho,29,84,
Azpilicueta,César Azpilicueta Tanco,26,84,
N. Matić,Nemanja Matić,27,84,
C. Bacca,Carlos Arturo Bacca Ahumada,29,84,
S. Mustafi,Shkodran Mustafi,24,88,
M. ter Stegen,Marc-André ter Stegen,24,88,
S. Aurier,Serge Aurier,23,88,
M. Perin,Mattia Perin,23,88,
João Mário,João Mário Naval Costa Eduardo,23,88,
J. Giménez,José María Giménez de Vargas,21,88,
M. Musacchio,Mateo Pablo Musacchio,25,87,
Oscar,Oscar dos Santos Emboaba Júnior,24,87,
A. Lopes,Anthony Lopes,25,87,
K. Trapp,Kevin Trapp,25,86,
R. Rodríguez,Ricardo Rodríguez,23,86,
Carvajal,Daniel Carvajal Ramos,24,86,
L. Insigne,Lorenzo Insigne,25,85,
L. Bender,Lars Bender,27,84,
Y. Brahimi,Yacine Brahimi,26,84,
Y. Konoplyanka,Yevhen Konoplyanka,26,84,
K. Bellarabi,Karim Bellarabi,26,84,
Quaresma,Ricardo Andrade Quaresma Bernardo,32,83,
Danny,Daniel Miguel Alves Gomes,32,83,
Júlio César,Júlio César Soares de Espíndola,36,83,
D. De Rossi,Daniele De Rossi,32,83,
P. Mertesacker,Per Mertesacker,31,83,
S. Lichtsteiner,Stephan Lichtsteiner,32,83,
J. Toulalan,Jérémy Toulalan,32,83,
B. Schweinsteiger,Bastian Schweinsteiger,31,83,
Nani,Luís Carlos Almeida da Cunha,29,83,
W. Sneijder,Wesley Sneijder,32,83,
V. Enyeama,Vincent Enyeama,33,83,
G. Rodríguez,Gonzalo Javier Rodríguez,32,83,
C. Tévez,Carlos Alberto Tevez,32,83,
Juanfran,Juan Francisco Torres Belén,31,83,
Borja Valero,Borja Valero Iglesias,31,83,
João Moutinho,João Filipe Iria Santos Moutinho,29,83,
A. Consigli,Andrea Consigli,29,83,
L. Baines,Leighton Baines,31,83,
L. Diarra,Lassana Diarra,31,83,
A. Williams,Ashley Williams,31,83,
G. Cahill,Gary Cahill,30,83,
Diego Alves,Diego Alves Carreira,31,83,
José Fonte,José Miguel da Rocha Fonte,32,83,
A. Begović,Asmir Begović,29,83,
J. Vertonghen,Jan Vertonghen,29,83,
D. Mertens,Dries Mertens,29,83,
K. Gameiro,Kévin Gameiro,29,83,
M. Benatia,Medhi Amine El Mouttaqi Benatia,29,83,
J. Hernández,Javier Hernández Balcázar,28,83,
O. Giroud,Olivier Giroud,29,83,
S. Khedira,Sami Khedira,29,83,
I. Perišić,Ivan Perišić,27,83,
M. Mandžukić,Mario Mandžukić,30,83,
F. Muslera,Fernando Muslera,30,83,
Bruno,Bruno  Soriano Llido,32,83,
S. Giovinco,Sebastian Giovinco,29,83,
Luiz Gustavo,Luiz Gustavo Dias,28,83,
S. Kagawa,香川 真司,27,83,
Pedro,Pedro Eliezer Rodríguez Ledesma,28,83,
K. Glik,Kamil Glik,28,83,
D. Subašić,Danijel Subašić,31,83,
G. Medel,Gary Alexis Medel Soto,28,83,
Nolito,Manuel Agudo Durán,29,83,
I. Slimani,Islam Slimani,28,83,
A. Martial,Anthony Martial,20,90,
E. Bailly,Eric Bailly,22,90,
J. Butland,Jack Butland,23,89,
G. Rulli,Gerónimo Rulli,24,89,
S. de Vrij,Stefan de Vrij,24,88,
T. Horn,Timo Horn,23,88,
R. Sterling,Raheem Sterling,21,88,
Marquinhos,Marcos  Aoás Corrêa,22,88,
Y. Carrasco,Yannick Ferreira Carrasco,22,88,
Casemiro,Carlos Henrique Venancio Casimiro,24,87,
Danilo Pereira,Danilo Luís Hélio Pereira,24,87,
M. Icardi,Mauro Emanuel Icardi Rivero,23,87,
L. Karius,Loris Karius,23,87,
S. Umtiti,Samuel Umtiti,22,87,
X. Shaqiri,Xherdan Shaqiri,24,86,
Morata,Álvaro Borja Morata Martín,23,86,
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,24,86,
S. Savić,Stefan Savić,25,86,
D. Berardi,Domenico Berardi,21,86,
Bojan,Bojan Krkíc Pérez,25,85,
J. Wilshere,Jack Wilshere,24,85,
Lucas,Lucas Rodrigues M. Silva,23,85,
K. Koulibaly,Kalidou Koulibaly,25,85,
A. Florenzi,Alessandro  Florenzi,25,85,
M. Sportiello,Marco Sportiello,24,85,
M. Schneiderlin,Morgan Schneiderlin,26,84,
D. Lovren,Dejan Lovren,26,84,
J. Matip,Joël Andre Job Matip,24,84,
A. Witsel,Axel  Witsel,27,83,
S. Bender,Sven Bender,27,83,
S. Kjær,Simon Thorup Kjær,27,83,
S. Coleman,Séamus Coleman,27,83,
M. Sakho,Mamadou Sakho,26,83,
Adrien Silva,Adrien Sebastian Perruchet Silva,27,83,
S. N'Zonzi,Steven N'Kemboanza Mike Christopher Nzonzi,27,83,
Parejo,Daniel Parejo Muñoz,27,83,
Ander Herrera,Ander Herrera Agüera,26,83,
Vitolo,Víctor Machín Pérez,26,83,
Casillas,Iker Casillas Fernández,35,82,
A. Pirlo,Andrea Pirlo,37,82,
T. Motta,Thiago Motta,33,82,
P. Evra,Patrice Evra,35,82,
P. Jagielka,Phil Jagielka,33,82,
Victor Valdés,Víctor Valdés Arribas,34,82,
David Villa,David Villa Sánchez,34,82,
Kaká,Ricardo Izecson dos Santos Leite,34,82,
F. Marchetti,Federico Marchetti,33,82,
P. Zabaleta,Pablo Javier Zabaleta Girod,31,82,
Raffael,Raffael Caetano de Araújo,31,82,
Gabi,Gabriel Fernández Arenas,32,82,
M. Gómez,Mario Gómez García,30,82,
A. Gignac,André-Pierre Gignac,30,82,
Raúl Albiol,Raúl Albiol Tortajada,30,82,
B. Costil,Benoît Costil,28,82,
L. Biglia,Lucas Rodrigo Biglia,30,82,
L. Perrin,Loïc Perrin,30,82,
M. Krohn-Dehli,Michael Krohn-Dehli,33,82,
M. Dembélé,Moussa Sidi Yaya Dembélé,28,82,
B. Sagna,Bacary Sagna,33,82,
S. Nasri,Samir Nasri,29,82,
M. Škrtel,Martin Škrtel,31,82,
G. Castro,Gonzalo Castro Randon,29,82,
E. Viviano,Emiliano Viviano,30,82,
S. Sirigu,Salvatore Sirigu,29,82,
Jardel,Jardel Nivaldo Vieira,30,82,
A. Guardado,José Andrés Guardado Hernández,29,82,
L. Piszczek,Łukasz Piszczek,31,82,
Beñat,Beñat Etxebarria Urkiaga,29,82,
V. Ćorluka,Vedran Ćorluka,30,82,
A. Rami,Adil Rami,30,82,
O. Karnezis,Orestis Karnezis,30,82,
M. Arnautović,Marko Arnautović,27,82,
G. Sigurðsson,Gylfi Þór Sigurðsson,26,82,
G. Bonaventura,Giacomo Bonaventura,26,82,
Iborra,Vicente Iborra de la Fuente,28,82,
J. Cuadrado,Juan Cuadrado,28,82,
F. Vázquez,Franco Vázquez,27,82,
J. Vardy,Jamie Vardy,29,82,
A. Areola,Alphonse Areola,23,89,
R. Barkley,Ross Barkley,22,89,
L. Shaw,Luke Shaw,20,89,
Marco Asensio,Marco Asensio Willemsen,20,89,
L. Kurzawa,Layvin Kurzawa,23,88,
Deulofeu,Gerard Deulofeu Lázaro,22,88,
K. Coman,Kingsley Coman,20,88,
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,21,88,
O. Özyakup,Oğuzhan Özyakup,23,87,
Paco Alcácer,Francisco Alcácer García,22,87,
N. Süle,Niklas Süle,20,87,
N. Fekir,Nabil Fekir,22,87,
S. El Shaarawy,Stephan El Shaarawy,23,86,
M. Batshuayi,Michy Batshuayi Tunga,22,86,
M. Salah,Mohamed  Salah Ghaly,24,86,
N. Maksimović,Nikola Maksimović,24,86,
E. Lamela,Erik Lamela,24,85,
N. Clyne,Nathaniel Edwin Clyne,25,85,
M. Gabbiadini,Manolo Gabbiadini,24,85,
C. Bakambu,Cédric Bakambu,25,85,
K. Volland,Kevin Volland,23,85,
Iñigo Martínez,Íñigo Martínez Berridi,25,85,
Jorginho,Luiz Frello Filho Jorge,24,85,
Q. Promes,Quincy Anton Promes,24,85,
N. Kanté,N'Golo Kanté,25,85,
G. Wijnaldum,Georginio Wijnaldum,25,84,
Camacho,Ignacio Camacho Barnola,26,84,
J. McCarthy,James McCarthy,25,84,
K. Walker,Kyle Walker,26,84,
R. Bürki,Roman Bürki,25,84,
F. Coquelin,Francis Coquelin,25,84,
R. Pereyra,Roberto Pereyra,25,84,
P. Herrmann,Patrick Herrmann,25,84,
Marc Bartra,Marc Bartra Aregall,25,84,
Lucas Vázquez,Lucas Vázquez Iglesias,25,84,
K. Schmeichel,Kasper Schmeichel,29,83,
Sergio Asenjo,Sergio  Asenjo Andrés,27,83,
M. Yanga-M'Biwa,Mapou Yanga-M'Biwa,27,83,
J. Henderson,Jordan Brian Henderson,26,83,
C. Benteke,Christian Benteke Liolo,25,83,
Mikel San José,Mikel San José Domínguez,27,83,
Ganso,Paulo Henrique Chagas de Lima,26,83,
A. Dzagoev,Alan Dzagoev,26,83,
N. Nkoulou,Nicolas N'Koulou,26,83,
K. Strootman,Kevin Strootman,26,83,
D. Blind,Daley Blind,26,83,
A. Schürrle,André Schürrle,25,83,
Allan,Allan Marques Loureiro,25,83,
J. Cillessen,Jasper Cillessen,27,83,
Bruno Peres,Bruno da Silva Peres,26,83,
S. Jovetić,Stevan Jovetić,26,82,
R. Zieler,Ron-Robert Zieler,27,82,
O. Kıvrak,Onur Recep Kıvrak,28,82,
Daniel Carriço,Daniel Filipe Martins Carriço,27,82,
Iturraspe,Ander Iturraspe Derteano,27,82,
W. Bony,Wilfried Guemiand Bony,27,82,
De Marcos,Óscar de Marcos Arana,27,82,
M. Gonalons,Maxime Gonalons,27,82,
Víctor Ruíz,Víctor Ruíz Torre,27,82,
Pizzi,Luís Miguel Afonso Fernandes,26,82,
André André,André Filipe Brás André,26,82,
F. Acerbi,Francesco Acerbi,27,82,
O. Shatov,Oleg Shatov,25,82,
Tiago,Tiago Cardoso Mendes,35,81,
R. van Persie,Robin van Persie,32,81,
T. Rosický,Tomáš  Rosický,35,81,
S. Eto'o,Samuel Eto'o Fils,35,81,
S. Gerrard,Steven  Gerrard,36,81,
T. Howard,Tim Howard,37,81,
M. Carrick,Michael Carrick,34,81,
D. Drogba,Didier Yves Drogba Tébily,38,81,
Fernando Torres,Fernando José Torres Sanz,32,81,
Moyá,Miguel Ángel Moyá Rumbo,32,81,
J. Mathieu,Jérémy Mathieu,32,81,
Rubén Castro,Rubén Castro Martín,35,81,
C. Carrasso,Cédric Carrasso,34,81,
R. Adler,René Adler,31,81,
Fernandinho,Fernando Luiz Rosa,31,81,
J. Milner,James Philip Milner,30,81,
D. Srna,Darijo Srna,34,81,
A. Mirante,Antonio Mirante,32,81,
Diego López,Diego López Rodríguez,34,81,
K. Huntelaar,Klaas-Jan Huntelaar,32,81,
R. Eremenko,Roman Eremenko,29,81,
T. Vermaelen,Thomas Vermaelen,30,81,
S. Kalou,Salomon Armand Magloire Kalou,30,81,
T. Walcott,Theo  Walcott,27,81,
Falcao,Radamel Falcao García Zárate,30,81,
Y. Cabaye,Yohan Cabaye,30,81,
C. Vela,Carlos Alberto Vela Garrido,27,81,
R. Shawcross,Ryan Shawcross,28,81,
Raúl García,Raúl García Escudero,29,81,
K. Mirallas,Kevin Mirallas,28,81,
D. Astori,Davide Astori,29,81,
A. Candreva,Antonio Candreva,29,81,
A. Fernández,Augusto Matías Fernández,30,81,
B. Ruíz,Bryan Ruiz González,30,81,
Vieirinha,Adelino André Vieira de Freitas,30,81,
Nacho Monreal,Ignacio Monreal Eraso,30,81,
B. Trémoulinas,Benoît Trémoulinas,30,81,
M. Layún,Miguel Arturo Layún Prado,28,81,
L. Rémy,Loïc Rémy,29,81,
A. Lallana,Adam David Lallana,28,81,
K. Mitroglou,Konstantinos Mitroglou,28,81,
M. Parolo,Marco Parolo,31,81,
José Callejón,José María Callejón Bueno,29,81,
K. Honda,本田 圭佑,30,81,
L. Stindl,Lars Stindl,27,81,
I. Smolnikov,Igor Smolnikov,27,81,
Paulinho,José Paulo Bezzera Maciel Júnior,27,81,
Taison,Taison Barcellos Freda,28,81,
F. Orellana,Fabián Orellana,30,81,
Iago Aspas,Iago Aspas Juncal,28,81,
Lucas Pérez,Lucas Pérez Martínez,27,81,
D. Alli,Bamidele Alli,20,90,
K. Zouma,Kurt Happy Zouma,21,89,
Saúl,Saúl Ñíguez Esclápez,21,88,
M. Lemos,Mauricio Lemos Merladet,20,88,
J. Corona,Jesús Corona,23,87,
Jesé,Jesé Rodríguez Ruíz,23,87,
M. Depay,Memphis Depay,22,87,
Denis Suárez,Denis Suárez Fernández,22,87,
Samu Castillejo,Samuel Castillejo Azuaga,21,87,
M. Meyer,Max  Meyer,20,87,
T. Kolodziejczak,Thimothée Kolodziejczak,24,86,
Keko,Sergio Gontán Gallardo,24,86,
E. Can,Emre Can,22,86,
S. Boufal,Sofiane Boufal,22,86,
Alisson,Alisson Ramses Becker,23,86,
Williams,Iñaki Williams Dannis,22,86,
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,23,86,
Hugo Mallo,Hugo Mallo Novegil,25,85,
Borja Bastón,Borja González Tomás,23,85,
Rafinha,Rafael Alcântara do Nascimento,23,85,
P. Ntep,Paul-Georges Ntep de Madiba,23,85,
M. Nastasić,Matija Nastasić,23,85,
Manu Trigueros,Manuel Trigueros Muñoz,24,85,
Sergio Rico,Sergio Rico González,22,85,
F. Kostić,Filip Kostić,23,85,
Gayà,José Luís Gayà Peña,21,85,
D. Welbeck,Daniel Nii Tackie Mensah Welbeck,25,84,
J. Zoet,Jeroen Zoet,25,84,
Mario Gaspar,Mario Gaspar Pérez Martínez,25,84,
J. Bruma,Jeffrey Bruma,24,84,
R. Saponara,Riccardo Saponara,24,84,
J. Murillo,Jeison Fabián Murillo Cerón,24,84,
D. Klaassen,Davy Klaassen,23,84,
H. Çalhanoğlu,Hakan Çalhanoğlu,22,84,
H. Ziyech,Hakim Ziyech,23,84,
D. Drinkwater,Danny Drinkwater,26,83,
E. Mangala,Eliaquim Mangala,25,83,
C. Immobile,Ciro Immobile,26,83,
Mário Fernandes,Mário Figueira Fernandes,25,83,
Y. Rakitskyi,Yaroslav Rakitskyi,26,83,
Danilo,Danilo Luiz da Silva,24,83,
W. Ben Yedder,Wissam Ben Yedder,25,83,
S. Zaza,Simone Zaza,25,83,
A. Carrillo,André Martín Carrillo Díaz,25,83,
J. Veltman,Joël Veltman,24,83,
H. Herrera,Héctor Miguel Herrera López,26,82,
D. Rose,Danny Rose,25,82,
Sidnei,Sidnei Rechel da Silva Júnior,27,82,
M. Darmian,Matteo Darmian,26,82,
